#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
AM|R038D|28.3775|83.0534|1446.0|Raspberry Shake Citizen Science Station|2019-09-16T03:55:34|2019-09-18T17:00:04
AM|R038D|28.3775|83.0534|1446.0|Raspberry Shake Citizen Science Station|2019-09-21T12:14:53|2019-10-10T17:00:06
AM|R038D|28.3775|83.0534|1446.0|Raspberry Shake Citizen Science Station|2019-10-11T05:52:10|2019-10-13T17:00:06
AM|R038D|28.3775|83.0534|1446.0|Raspberry Shake Citizen Science Station|2019-10-17T07:11:37|2019-12-23T17:00:10
AM|R038D|28.3775|83.0534|1446.0|Raspberry Shake Citizen Science Station|2020-01-02T06:41:05|2020-03-19T17:00:16
AM|R038D|28.3775|83.0534|1446.0|Raspberry Shake Citizen Science Station|2020-10-21T09:30:32|2020-12-16T17:00:36
AM|R038D|28.3776|83.0537|1429.0|Raspberry Shake Citizen Science Station|2020-12-29T17:04:21|2021-01-01T17:00:37
AM|R038D|28.3776|83.0537|1429.0|Raspberry Shake Citizen Science Station|2021-01-02T10:29:52|2021-01-21T17:00:42
AM|R038D|28.3776|83.0537|1429.0|Raspberry Shake Citizen Science Station|2021-01-27T03:50:47|2599-12-31T23:59:59
AM|R0BD5|28.1812|83.0129|785.0|Raspberry Shake Citizen Science Station|2020-11-28T01:43:19|2020-12-13T07:14:45
AM|R0BD5|28.1812|83.6129|785.0|Raspberry Shake Citizen Science Station|2020-12-13T07:14:45|2021-01-02T17:00:46
AM|R0BD5|28.1812|83.6129|785.0|Raspberry Shake Citizen Science Station|2021-01-04T05:14:09|2021-01-08T17:00:37
AM|R0BD5|28.1812|83.6129|785.0|Raspberry Shake Citizen Science Station|2021-01-14T19:20:57|2021-01-27T17:00:38
AM|R0BD5|28.1812|83.6129|785.0|Raspberry Shake Citizen Science Station|2021-01-29T10:52:01|2021-02-19T17:00:48
AM|R0BD5|28.1812|83.6129|785.0|Raspberry Shake Citizen Science Station|2021-02-21T05:43:24|2599-12-31T23:59:59
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-04-19T03:47:52|2019-05-15T17:00:03
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-05-16T07:47:07|2019-05-18T17:00:02
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-05-19T07:16:15|2019-05-23T17:00:03
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-05-24T06:21:53|2019-06-15T17:00:03
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-06-17T05:12:30|2019-06-30T17:00:04
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-07-09T02:26:13|2019-08-15T17:00:04
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-10-20T02:57:48|2019-11-02T17:00:09
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-11-06T05:13:35|2019-12-19T17:00:12
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-12-23T04:56:52|2019-12-25T17:00:10
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2019-12-29T08:18:24|2019-12-31T17:00:12
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2020-01-02T10:02:12|2020-06-28T17:00:27
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2020-06-29T03:29:57|2020-07-02T17:00:24
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2020-07-06T05:11:23|2020-07-12T17:00:30
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2020-07-13T05:18:50|2020-08-08T17:00:34
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2020-08-15T11:00:55|2020-09-08T17:00:36
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2020-09-09T04:11:19|2020-09-12T17:00:33
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2020-09-13T04:58:26|2020-10-21T17:00:41
AM|R0CEA|28.2344|83.9252|787.0|Raspberry Shake Citizen Science Station|2020-11-30T03:26:00|2599-12-31T23:59:59
AM|R0F23|28.0482|84.0749|516.0|Raspberry Shake Citizen Science Station|2019-04-19T12:50:10|2019-08-19T17:00:05
AM|R0F23|28.0482|84.0749|516.0|Raspberry Shake Citizen Science Station|2019-08-20T06:48:07|2020-01-14T17:00:12
AM|R0F23|28.0482|84.0749|516.0|Raspberry Shake Citizen Science Station|2020-01-16T02:15:20|2020-03-24T17:00:17
AM|R0F23|28.0482|84.0749|516.0|Raspberry Shake Citizen Science Station|2020-03-25T10:14:39|2020-09-18T17:00:36
AM|R0F23|28.0482|84.0749|516.0|Raspberry Shake Citizen Science Station|2020-09-19T08:20:04|2020-12-29T17:00:37
AM|R0F23|28.0482|84.0749|516.0|Raspberry Shake Citizen Science Station|2021-01-01T02:08:48|2021-02-23T09:54:30
AM|R0F23|28.0486|84.0753|516.0|Raspberry Shake Citizen Science Station|2021-02-23T09:54:30|2021-02-23T09:57:41
